name,ra,dec,l,b,pmra,pmdec,median_member_parallax,median_member_RV,x,y,z,u,v,w,rho,phi,z_cyl,v_rho,v_phi,v_z
ASCC_19,81.97812989,-1.8560224,204.78898604,-19.38,1.16771674,-1.18247821,2.80202761,19.0325845,-305.6429854462593,-141.15559475587494,-118.42277297092713,-15.40938913789368,-10.08651549550371,-5.5639053266725265,8.557078632455191,359.05482224081754,-0.09685245069734563,0.44771477693647527,234.9528609128722,1.7249258278571313
ASCC_20,82.19355425,1.72130405,201.59021723,-17.47,-0.5690951,0.75899004,2.7481204750000003,29.782133,-322.74264865805026,-127.71911469104239,-109.25818791271065,-26.95059400214934,-8.921045384730533,-9.150612297731413,8.573942139712582,359.14648240274295,-0.0876447876259301,12.355147030622028,236.28925430189062,-1.8326867410681997
ASCC_21,82.21204038,3.60658547,199.8828505,-16.53,1.5323534,-0.57628365,2.8954472950000003,16.2056355,-311.35913579544655,-112.6050383525912,-98.26433716559302,-14.366508713003704,-7.38869137189387,-2.9694311249326097,8.56232011011512,359.24647122593626,-0.07667963357290196,0.14880010282120368,237.63383394168906,4.316767919315741
ASCC_58,153.70559195,-55.02031159,281.70492996,1.263,-13.301967,2.7601003,2.09175946,10.6041045,96.96252765053994,-468.0115385301166,10.535171082345958,-25.653919368487617,-16.40654164628549,-11.534263169719244,8.166407205839748,356.71461495178124,0.03109012698449838,1.458400364318937,229.05353609212014,-4.219608359082511
ASCC_99,282.17181947,-18.38406542,16.16547486,-7.682,5.24745277,-1.30712533,3.31895626,-30.593239,286.78949228539045,83.13268323743112,-40.27602152778011,-30.54094298377701,-7.164766903607441,-3.3945492939388564,7.963720524218772,0.5981157287579322,-0.020198418407903988,21.931084870008682,237.61927722029031,3.93240745722061
ASCC_101,288.34468256,36.35990257,68.00063836,11.64,0.96745283,1.28139139,2.5091585800000002,-19.025778,146.2194775107413,361.9175160498542,80.43437301536258,-9.686347177102716,-16.049036294769788,-4.4480129346066635,8.111629619653497,2.5572195350208347,0.1008662073825177,8.814061178682698,228.78555487673736,2.8263851220911556
ASCC_127,347.30213146,65.18290876,112.46826356,4.409,7.4097292,-1.64539414,2.65560196,-14.171299,-143.48559864574818,346.9483109341411,28.94886635263555,-5.064505152010962,-16.735255330664053,-8.870611953170439,8.400553310630732,2.3670267979484834,0.050110835504691975,3.419472832446871,228.31834542137238,-1.6078468913839756
Alessi_3,109.18670262,-46.6802815,257.93553227,-15.33,-9.79326553,11.91590602,3.5890221,0.420319,-56.163204414982516,-262.7729128293007,-73.68402058988143,-18.931916795115207,5.14474561687194,-5.50641886287933,8.31047812237537,358.1880369148731,-0.05274265305979913,-0.06763639892612439,250.26777154025297,1.7913104432852796
Alessi_5,160.90215568,-61.11150292,288.10772508,-1.974,-15.39980212,2.54393446,2.5101229,10.157798,123.74698325979348,-378.43158107146184,-13.72293851389349,-23.47810328444012,-18.01484265699421,-9.81512770078043,8.135068936109544,357.3337207406201,0.006764734810989968,1.8303267278961182,227.31642463367746,-2.5059632859624545
Alessi_9,265.64238701,-46.74400774,344.40010597,-8.718,9.83087271,-9.15089576,4.751204875,-6.510262,200.37748597529003,-55.94599982788308,-31.902374509639795,-8.875481486995268,-0.4786983304231733,-11.956210573622192,8.04987178229528,359.6017944685749,-0.01160726261708998,-3.8937751787752983,244.50017093398384,-4.683809050962072
Alessi_10,301.23229292,-10.52874723,31.62290379,-21.05,1.45355658,-7.90176935,2.2521606,-15.92665,352.8670997645159,217.27978032351888,-159.4564275681856,-8.457928989505119,-21.356016899509086,-3.468252535978249,7.900497772994066,1.5759486606061444,-0.13954475045228806,3.518320128854747,223.6318243695814,3.803039283092697
Alessi_13,51.99294197,-35.77331776,237.42675241,-55.76,35.49917422,-4.18381758,9.48249092,17.449953,-31.94791458504662,-50.00698884613639,-87.17752509685526,-12.359852474067232,-21.255867677317113,-4.386627889943783,8.282292274488038,359.65405739361984,-0.06629681993165915,-0.08005935150808481,223.74774528431442,2.8944989833981896
Alessi_20,2.64349963,58.75651282,117.64268503,-3.695,8.11665663,-2.42720655,2.333696345,-10.0637805,-198.39414900962,378.8053893023449,-27.614685791567464,-8.847855505506569,-16.51469902577074,-6.812185014456149,8.456924586181325,2.567272173858669,-0.006314132840599286,8.001648049698005,228.3561032954321,0.4601070495621842
Alessi_24,260.97843601,-62.81755799,328.9275024,-14.72,-0.42996834,-8.9625486,2.04189418,9.182533,405.702568110684,-244.46990693942956,-124.44466578863491,-4.002855031515804,-18.93845702877404,-11.98244843898445,7.848394731485154,358.21500171667424,-0.10466691077551946,-14.105122356907817,225.73173926712496,-4.722351854769922
Alessi_34,120.06233695,-50.65517502,264.88178872,-10.71,-5.00965612,5.74321484,2.01842513,12.467033,-43.42903585173216,-484.87217541033135,-92.02983427041349,-18.53581932997701,-10.001563119308601,-5.67361243682516,8.307796506106548,356.65411698646847,-0.07112082151975764,-6.277963763980653,235.03269562461443,1.6230971093389441
Alessi_36,106.56512637,-37.59593941,248.54408174,-13.45,-9.66925079,7.04613948,3.59961825,15.35529,-98.83030296833866,-251.46252528628776,-64.62221349552796,-17.5116481506367,-7.202547378476084,-11.202934770568731,8.35275287295794,358.27483128410995,-0.0435733464111924,-0.7220612843355463,237.88357249211325,-3.908784252849997
Alessi_84,110.51006607,55.38448205,161.82334628,26.27,-3.11963227,-31.44680714,5.03545317,10.5851235,-169.1971271514809,55.55279989797055,87.89166388175536,-21.394316966620803,-23.06868090267141,-2.6874882379542733,8.419132131727487,0.3780633968875122,0.1091178059964754,11.76521069957852,221.8585411360679,4.6163954528902975
Alessi_96,75.48517133,37.4875441,167.79530873,-2.705,0.97122682,-12.56138455,3.05624716,12.521486,-319.4470538069966,69.09427661145433,-15.444388326386484,-15.183833076707403,-13.430547693819523,-11.302278415545361,8.569737217484835,0.4619595158737013,0.006160698583400139,5.9792014311265484,231.52880045743206,-4.014002299508716
Aveni-Hunter_1,354.26258138,48.49009576,110.42579699,-12.57,0.03797173,-2.74081342,2.36309963,-15.311763,-144.14663513825872,387.06511398100156,-92.07468419908137,7.046828951912364,-14.549874661873101,-1.8246126253502482,8.403270699715751,2.6400508996595136,-0.0709106063409801,-7.508112547914896,231.04117810721826,5.407615365543477
BH_23,123.44775389,-36.3562227,253.99067743,-1.047,-7.18300529,7.31683038,2.2968665,23.001686,-120.05388912277793,-418.42070624570056,-7.951693145831256,-26.29597837506276,-16.304790110505113,-4.424249894140419,8.380499658698296,357.13815334557466,0.013150227970687023,3.7698238236953454,229.16927419741833,2.892000341841298
BH_99,159.55376765,-59.10926371,286.55679764,-0.5402,-14.47734604,0.98013334,2.23368998,8.632294,127.57053430196014,-429.1083933690748,-4.220686088091086,-24.244161686966827,-16.083049444505292,-13.281792094095282,8.133741724508413,356.9758659185198,0.016257248242606947,1.082335155809626,229.29340664260314,-5.970683541597742
BH_164,222.3238529,-66.39249343,314.35966876,-6.172,-7.43669046,-10.69606153,2.39160556,-1.0718855,290.64495054654094,-297.2150822817096,-44.95212661767013,-17.824631570736564,-14.0537863576871,-12.356597150602541,7.964990555542795,357.8614995378718,-0.024884781340794297,-1.8667885394375099,231.03749597227122,-5.0616643681041875
Blanco_1,0.91498392,-30.01061575,14.7575797,-79.13,18.72451366,2.59262019,4.22265283,5.1224595,43.19672868803655,11.378860392648807,-232.56677985867273,-18.7247197399072,-6.677646678484568,-9.020725241806371,8.207371082837756,0.07943812320664279,-0.2118748711401881,7.977813016191124,238.31155214848542,-1.7235242075832735
Briceno_1,81.08336307,1.69561227,201.04303379,-18.45,1.38397926,-0.0161936,2.88682449,17.045962000000003,-306.6767779902783,-117.98654179605914,-109.6469285723281,-15.263456394280654,-7.092159377360085,-3.529673419274155,8.557739359709572,359.21003442504986,-0.08807399525109699,0.8918612441051997,237.94277167968298,3.7587879499581054
CWNU_232,92.34633901,-2.99419091,210.79731949,-10.72,0.10816321,-2.99584895,2.0411017449999997,37.34584,-413.500634453559,-246.46963076766843,-91.11971305254181,-27.818784915435298,-23.928430472777798,-9.835259791789536,8.667208058770461,358.3704621163317,-0.06927785426620417,10.450124223818483,221.45834017522105,-2.5151664190774587
CWNU_314,288.15654246,-9.63329176,26.68671007,-9.051,-0.58685671,-6.68498604,2.68727496,-18.852867,328.3442163640906,165.04452206786934,-58.53878346693137,-12.27794876321172,-18.526793020442014,-1.2561147272895785,7.92349705673682,1.193541924072207,-0.03856571104163706,5.898211949143438,226.3994822500095,6.024799830534883
CWNU_515,131.90219362,-63.58268838,279.45500373,-12.48,-27.10149472,14.77445868,4.8666977,10.801347499999999,32.95659547244193,-197.8954473475334,-44.4130778404604,-25.74912765191003,-12.274585797627434,-14.386747788077004,8.219512024244212,358.6203964878099,-0.023696270453613097,9.077884622708813,233.01156560559897,-7.071837958289765
CWNU_519,313.93175062,56.75453927,94.66660555,7.442,5.01194889,3.48955136,3.07030241,-7.439637,-26.275004848825358,321.8863245150107,42.1881463094731,-8.486905124217536,-7.768934315966672,-3.4458874008498013,8.282399336138266,2.2272980078483045,0.06305469167431949,6.617259341906949,237.15307211995216,3.825497286123926
CWNU_522,75.678003,8.08101379,192.31521478,-19.78,0.88316847,-4.48388334,2.57995843,18.058023,-356.3398540326169,-77.79378241587938,-131.1725330527594,-13.915059146930815,-11.030516570244954,-9.016756163988738,8.606994670370103,359.48213212237164,-0.10947433238721076,0.7229250936728221,233.985601287297,-1.73168081624647
CWNU_536,105.66160835,-45.67984051,256.00102103,-17.21,-3.46053913,3.0023641,3.933548905,29.0558535,-58.745117926761544,-235.63168710704184,-75.20793454779339,-11.279700108932024,-25.013345222704373,-11.037565628907949,8.312248892510977,358.3755899625648,-0.054260016521230775,-6.028657166728677,219.90415725617538,-3.7591448986562783
CWNU_1007,79.20776837,18.47774548,185.26037643,-11.19,-0.26741542,-5.64113931,2.74354382,23.7335115,-356.0529160720509,-32.78169468421549,-70.75421933678248,-21.342722066707843,-9.8414129939905,-10.302147496014701,8.606266312936553,359.7817599069058,-0.04905686748919669,9.372829214212382,235.1960292621009,-2.9983502413718983
CWNU_1010,69.09600706,-8.3552535,204.53551122,-33.75,-4.49109727,-0.93445188,6.03309013,14.581313999999999,-125.36733714282919,-57.22705225063313,-92.09776905686118,-9.669138304600889,-3.362439958762753,-10.99128851684425,8.375768339294778,359.60852789693763,-0.07098166239249122,-3.054131289936572,241.62235783556136,-3.716894445261215
CWNU_1012,324.32918677,-19.52708554,31.88665239,-45.06,12.58960699,0.63448696,3.46816768,-8.678744,172.92640739121867,107.58132407102552,-204.1096884793536,-18.22662796340944,-3.6963774894792714,-5.130212777510358,8.078278515244234,0.7630519283005128,-0.18374461937536063,10.35239854824347,241.18716874734437,2.165725195605828
CWNU_1015,76.54365199,-3.33828939,203.4174285,-24.86,12.77541488,-15.57028139,5.739236605,24.3438005,-145.0700679084416,-62.82982276494561,-73.25563397366601,-14.992434806948015,-24.293871662805163,-7.375694277574604,8.39546313738122,359.5712084825134,-0.05208994878030132,2.259174969919389,220.7292414573061,-0.08792883978478722
CWNU_1018,68.62101471,-8.43139141,204.35857783,-34.21,-9.85581223,-4.13903019,5.99133557,20.3532055,-125.74669735216924,-56.931652214254264,-93.8335397203125,-11.281950275245674,-4.397337102437138,-18.416559087432628,8.376150049812209,359.6105664427959,-0.07271647120769711,-1.4070203879533592,240.59869468918427,-11.138079028221194
CWNU_1020,135.00604039,-54.5099512,273.33778795,-5.529,-10.58771815,7.60754386,2.25044789,16.786665,25.75114045902699,-441.5386045160696,-42.81104173841959,-25.720950389223425,-17.617972712587438,-8.002231444930125,8.236174890374828,356.9269193280438,-0.022076440571896266,2.430118845558894,227.8399820030027,-0.6874207203504121
CWNU_1024,104.28551206,-27.39179106,238.23007993,-10.96,-5.54541769,6.01758178,2.490393695,21.8717405,-207.56012314451826,-335.1529599867046,-76.34146583595981,-23.45193395559087,-9.67702865727632,-8.795637137147544,8.464363829926063,357.73073862247054,-0.05501870896545694,3.0465417439881297,235.6284202535055,-1.4865296724641883
CWNU_1031,116.14053389,-43.50391511,257.22213253,-9.532,-9.9597863,-3.07477171,3.68694767,29.707233,-59.15948332465598,-260.8578123052812,-44.91635298862392,-8.58282198613642,-25.863658662461233,-17.875737206955456,8.313340128797794,358.20186612768254,-0.023967524011371547,-9.347026973745868,218.9508978181075,-10.604091556570964
CWNU_1032,300.91943379,31.84783035,69.0680814,0.3573,3.75290864,-1.23312383,2.66569737,-18.626871,134.01799863534606,350.3726420200643,2.339666551148722,-8.228223623533506,-16.749790139640286,-6.931859868080401,8.123509403788745,2.4719729598925255,0.02280247696365018,6.992924385825645,228.16093573406826,0.33887089458490893
CWNU_1034,113.6865025,-25.57206472,240.44253619,-2.638,-7.82207283,5.82758022,2.176223245,30.8137865,-226.4352114329251,-399.28797290339435,-21.14696296416878,-31.821401501299825,-16.876633873307842,-10.175083078707068,8.485861037760984,357.30304892148877,0.0002230857142505087,9.990017115799343,228.84694930433116,-2.844892569323022
CWNU_1044,129.93040715,-51.85904489,269.34500321,-6.228,-11.64025674,9.76139112,2.75458971,20.081557500000002,-4.125526986906125,-360.86434803168316,-39.383058099066844,-25.705064065637043,-19.038240761523046,-7.971651223370312,8.2620833914918,357.49668707427134,-0.0185730668537711,4.741762252331006,226.38494119051367,-0.6568827087421724
CWNU_1055,328.83144996,65.352464,105.89113933,8.487,5.66360945,-0.31845494,2.17519935,-9.988776,-124.5000242331667,437.31740214414685,67.8457659644204,-6.474398411814844,-10.847611468809866,-9.644423362006359,8.385712923753877,2.989347954041733,0.08895990467228171,7.6160686894922796,234.07374492326895,-2.3780945874670643
CWNU_1057,80.88372161,-8.30208011,210.41473382,-23.29,-0.99791966,-2.66993603,7.04221128,17.373386,-112.48005751098572,-66.03054453872959,-56.14664504174175,-12.618510300721486,-8.938368422829855,-8.148296500284047,8.3628556997353,359.54760667324706,-0.03506313853980361,-0.324902634816496,236.06644845647193,-0.8664878603632578
CWNU_1062,173.70141698,16.84499191,239.10123744,69.51,-9.19317682,-1.58169878,3.208491935,12.364905,-56.0126984175423,-93.59498652806721,291.96327752914385,-13.041753785148966,-11.018762001075782,7.1652886231139945,8.305778069910744,359.3543370948383,0.312903353112216,-0.7131200013625527,233.98806047488566,14.448112077622048
CWNU_1066,357.9591422,-18.7854153,61.1407268,-73.96,26.77088226,-3.69732052,10.10492769,16.57609,13.195082937636432,23.94306090151115,-95.11057552194673,-7.969029641675577,-2.8628483809510663,-19.073526225998293,8.237053172445473,0.16654567386299846,-0.07434348718304705,-2.3790826459942123,242.1451254644966,-11.803389664626637
CWNU_1069,119.31464456,-43.51074701,258.37671694,-7.533,-9.30302448,8.94679451,2.499332085,25.148269499999998,-79.91612786136582,-388.5194059282109,-52.455801569767154,-27.951463145273603,-18.82564255923557,-9.800552882311605,8.339077704089313,357.32961179943175,-0.03145483367816488,6.320252027436067,226.7150523709779,-2.480117816509964
CWNU_1076,41.23539365,56.70873943,138.07167981,-2.789,8.69780587,-4.0951798,2.77504717,-1.0140695,-267.77921727912934,240.50356997292815,-17.535629363949855,-10.218286170456654,-12.896269368030296,0.003996960165358241,8.521190799087202,1.6173426654453635,0.003939523933320082,5.669550758769016,232.03616065196812,7.279725876454136
CWNU_1084,302.5467933,33.4899507,71.18966992,0.0893,5.04810509,-0.38811774,3.098078665,-18.46943,104.07610921355784,305.54098033029555,0.503082798677871,-9.470911814719308,-16.27423619649984,-6.8255348163538,8.1516246334758,2.1480754520248126,0.021041280294339687,6.962375646687098,228.62547365586425,0.4483276080083844
CWNU_1088,85.90593203,-1.59277638,206.47735916,-15.79,1.69757369,-4.0610906,2.2176801250000002,16.536184,-388.39658335630355,-193.45580108735354,-122.69184639689387,-9.861261238173867,-15.38147738545263,-5.304405563583564,8.640844321717141,358.7171281332172,-0.10091306634137141,-6.3658897553618035,229.53355037129987,1.9704369359292235
CWNU_1095,171.35249417,63.83982667,137.73134317,50.74,10.39697799,2.07573493,4.0194381,-9.912373,-116.49736376312292,105.88800810073879,192.6474828408496,14.978203171525994,2.2893115099615433,-5.001874766989822,8.36665532648253,0.7251509349219134,0.21374057435653326,-22.933789552446118,247.59938355893885,2.210402680728053
CWNU_1121,100.04943666,-50.54326832,259.60632924,-22.32,-6.41318006,10.42560128,2.083547795,19.1182845,-80.10013846461153,-436.70302397827425,-182.28277071770466,-29.072154256391297,-9.769976923744618,-14.156960237190118,8.341971930785748,356.9991911445435,-0.16128099766510498,5.668744296034699,235.85022880418913,-6.833674165265612
CWNU_1142,75.52654646,2.83666657,197.0072251,-22.68,-0.24161272,-5.65734216,3.4271095,13.561342,-257.4542211299183,-78.74715587663957,-112.50887453073322,-8.461570303019672,-9.420059781067653,-9.215351189080629,8.508075183689904,359.4696895815714,-0.09105990463312504,-4.795532647336635,235.54566563416884,-1.9440144456212365
CWNU_1144,106.4212495,-52.6636272,263.06474632,-19.21,-13.04533893,11.93280064,5.12240998,7.9868015,-22.26003277190872,-183.0028234906233,-64.230398026313,-14.987558997859749,-3.253117223094512,-9.812099678714347,8.27441971276233,358.732704141947,-0.04337437208668643,-1.4353576785004805,241.774304677014,-2.5243079359778946
CWNU_1150,133.07294126,-47.40862304,267.11890006,-1.868,-12.52768326,10.84247696,2.04662678,15.291869,-24.546136449900285,-487.7319341389578,-15.92721779822919,-38.566755696961145,-13.15684699168389,-6.784836388262279,8.288922284940233,356.6266869647245,0.004933968391787966,13.794140862599086,233.05867629529467,0.5623456273037735
CWNU_1173,179.92184488,-70.28608802,298.5595174,-7.855,-13.03137354,-0.62172159,2.25273369,7.351003,210.22716185899796,-386.23295217188524,-60.66626041283416,-20.324829011292362,-18.296019467228223,-7.738293248558758,8.049172392659989,357.24965200889284,-0.04039636059343545,-1.6445776438853439,226.88644869035855,-0.43708139928575085
CWNU_1227,94.61425876,-7.78077533,216.18303173,-10.85,-3.93191404,-0.1566877,2.49784406,30.1651365,-317.3591662453345,-232.1274971413448,-75.3412395318687,-24.66738013285935,-14.282825793978812,-12.378522928361908,8.570666028822655,358.4480168601346,-0.053741665229705964,7.344795115882163,231.0008805403862,-5.066348185697103
Chamaleon_I,167.11699924,-77.49945855,297.32616283,-15.76,-22.55541237,0.43755773,5.240354765,13.454583,84.30579815139613,-163.15665056519012,-51.8391536968588,-11.774389440571419,-18.264039947792057,-11.193168835006592,8.167428836678585,358.8553546464972,-0.031251660525498146,-3.826958498834159,226.70477719085235,-3.9134912042625674
Collinder_69,83.81417628,9.88805505,195.10768586,-11.99,1.21490066,-2.04664903,2.50357212,23.560831,-377.20643965842766,-101.83239415870159,-83.00127786755299,-21.07564728986632,-10.357645108341933,-4.894767988243457,8.62798921865785,359.32375033948074,-0.06125068615975979,7.217859270535114,234.74392092794704,2.408338372894779
Collinder_135,109.40553907,-36.92087657,248.89062198,-11.12,-10.07786813,6.23023913,3.34264469,15.042002,-105.72238291327082,-273.85249236227554,-57.67907715550778,-17.89654810207699,-7.042632258968937,-11.77761693670337,8.360327801018828,358.1228739861126,-0.036612898417297375,-0.9720610694216643,238.0533065908486,-4.482494496545424
Collinder_140,110.80240157,-32.01159004,244.9532625,-7.899,-8.08817458,4.75649688,2.60013722,16.862197000000002,-161.27626591634916,-345.12277987184285,-52.854647006733714,-19.623143000683793,-7.875424216647759,-11.396965586510168,8.418460321407002,357.6504481784985,-0.031648604494231486,-1.1765257873894317,237.27585255931552,-4.0974949353995544
Collinder_350,267.06496269,1.41761766,26.87581785,14.68,-4.86908435,-0.06618663,2.70783316,-14.646965,318.6545752205504,161.4936226553313,93.59915392717213,-12.493850375246577,-10.890859328658424,3.535478605698873,7.932728211947098,1.1664987299991765,0.11359615393152513,6.150581121280642,234.03243597795455,10.816933174673181
Collinder_471,332.56307101,73.03231822,111.72657758,13.77,5.32087341,1.63234642,2.92324442,-17.5821645,-122.99253144050108,308.6497555122796,81.42951042900505,-1.8549503239047436,-18.35788814709081,-7.080893786425354,8.378447480334616,2.111170400215798,0.10253961877125213,-0.8717686370593996,226.82820267653216,0.17377583940985603
Delta_Cephei_Cluster,336.42386298,57.1572502,104.1414915,-0.2991,16.50641026,4.66722811,4.12582484,-13.98031,-59.215786627471665,235.02745861687836,-1.2654748673834755,-14.937583688241553,-18.210052932084682,-5.399711468343944,8.312515587721055,1.62019299456432,0.019684084618980052,10.261864286918765,226.59041365617188,1.8879184054820919
Gaia_8,282.54314014,33.39282363,63.22413541,14.78,1.74261933,-3.95540755,3.44722048,-18.576504,126.36286508496234,250.4180116250502,73.99154580920465,-3.960898918439082,-16.88297654742302,-8.927013364942017,8.127283490447411,1.7656764979588502,0.0944732714273164,-0.08448461266254707,228.2280065280491,-1.6670291865310565
Gulliver_9,127.20387396,-47.92490661,265.11381542,-5.314,-5.93143837,6.93488354,1.99895748,22.609896,-42.42739001467386,-496.30021229601476,-46.33411029888132,-23.380513811746123,-20.41851065996941,-3.9961604042095424,8.30735654225431,356.5749822196385,-0.02542778330344107,-1.1484281123753735,224.91464148277842,3.3127361083540188
Gulliver_20,273.83972565,11.43775178,39.20560011,13.13,1.01796573,-6.56350486,2.360003035,-13.879323,319.7545432621009,260.8374876804168,96.26257178374344,-2.184233782985567,-16.002352863467554,-10.47789698969549,7.934266083031138,1.8839241254572414,0.1162569373416535,-1.3563093395551697,229.1661219553092,-3.2223834030313494
HSC_95,261.22982521,-18.28691587,6.49545364,9.695,15.67206056,-6.31080358,5.08656178,-19.326532,192.54449944838035,21.92219826452816,33.108880758794,-16.68177657731202,1.124273349471314,-18.49020061609364,8.057376265541553,0.15588671771118356,0.05342363786554192,6.29793156954554,246.1080919307046,-11.198105847040122
HSC_295,273.82782315,1.01936775,29.7013234,8.499,-1.35678892,-13.35236206,2.54676827,-14.724311,337.3216959793975,192.41522476676204,58.03451030978846,0.043050225604599854,-26.737003367495408,-11.225770792870781,7.914845948002896,1.3930332596176243,0.0779846315134868,-5.805344167011415,218.46871234448074,-3.975882841764346
HSC_310,289.96666311,-5.68417585,31.07525056,-8.901,2.95652592,-19.52042981,3.28698822,-10.561544,257.4315368411075,155.14100562033312,-47.07532501838682,0.8887092077591237,-26.615359860439348,-14.598194584817314,7.994167066176322,1.1119949175762258,-0.026923619100739194,-7.711508960729923,218.57548016962576,-7.350426624309815
HSC_381,271.38575712,17.77089873,44.15967797,17.92,-1.03592754,-8.11003706,3.19274126,-17.463295,213.79166011054318,207.61076623900092,96.39344461256482,-3.050902397405581,-19.2060420341979,-8.611045053474399,8.038621098881357,1.4799209726783715,0.11665473493670941,-2.1932182409582768,225.92597737711736,-1.3533582766803025
HSC_427,316.83624681,1.94343695,51.90044576,-28.79,13.20014344,-7.87574903,4.34087965,4.2183209999999995,124.57166300868386,158.87467651651133,-110.95124376734128,-3.122299776709907,-3.1224511083521915,-16.735232743307183,8.12723496073456,1.1201141643347512,-0.09046455183120364,-3.205693650544946,241.9864836048126,-9.477316682769748
